Symbol,Company,Fiscal Year,Parity
SMBC,SMB,25 February 2019,41
ECOC,ECOBANK CI,27 December 2018,51
SEMC,CROWN SIEM CI,20 December 2018,401
SAFC,SAFCA CI,24 December 2018,51
ONTBF,ONATEL BF,29 August 2018,021
STBC,SITAB,26 July 2018,201
STBC,SITAB,27 July 2018,201
SIBC,SIB,15 June 2018,51
TTLC,TOTAL,12 February 2018,51
FTSC,FILTISAC CI,31 January 2018,41
SDCC,SODECI,27 December 2017,1001
SIVC,AIR LIQUIDE CI,20 December 2017,1001
SDCC,SODECI,28 December 2017,101
BOAM,BANK OF AFRICA ML,22 December 2017,0501
SIVC,AIR LIQUIDE CI,1 December 2017,101
CBIBF,CORIS BANK,14 December 2017,51
CFAC,CFAO MOTORS CI,13 November 2017,1001
SCRC,SUCRIVOIRE,4 December 2017,4
CIEC,CIE CI,18 October 2017,201
PALC,PALM CI,3 November 2017,21
TTLC,TOTAL SENEGAL S.A.,2 November 2017,101
BOAS,BANK OF AFRICA SN,30 October 2017,101
BOAB,BANK OF AFRICA BN,31 October 2017,101
BOAN,BANK OF AFRICA NG,27 October 2017,101
BOAC,BANK OF AFRICA CI,26 October 2017,101
BOABF,BANK OF AFRICA BF,24 October 2017,101
STAC,SETAO CI,25 October 2017,1001
CIEC,CIE CI,19 October 2017,201
BICC,BICI CI,6 October 2017,101
None,NESTLE CI,7 September 2017,201
SGBC,SGB CI,24 August 2017,101
CABC,SICABLE,14 August 2017,401
SGBC,SGB CI,25 August 2017,101
UNXC,UNIWAX CI,10 August 2017,51
NEIC,NEI-CEDA CI,9 August 2017,251
SOGC,SOGB,18 August 2017,101
SDSC,BOLLORE TRANSPORT & LOGISTICS,28 July 2017,501
BNBC,BERNABE CI,26 July 2017,201
NEIC,NEI-CEDA CI,10 August 2017,251
CABC,SICABLE,16 August 2017,401
BNBC,BERNABE CI,27 July 2017,201
SPHC,SAPH CI,21 July 2017,51
ABJC,SERVAIR ABIDJAN CI,30 September 2016,201
